brand,model,model_year,milage,fuel_type,engine,ext_col,int_col,accident,clean_title,price,Potencia,Capacidade_Motor,Numero_Cilindros,Numero_Valvulas,T2
Jeep,Wrangler Sport,0.7999999999999972,0.17510496418868857,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Gray,Black,None reported,Yes,0.006774877264629754,0.2263157894736842,0.3806451612903226,0.3333333333333333,0.18685491723466408,0.4444444444444445
Toyota,Highlander XLE,0.8200000000000003,0.16911583106939987,Gasoline,270.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Silver,Gray,At least 1 accident or damage reported,Yes,0.008129852717555704,0.21052631578947367,0.36774193548387096,0.3333333333333333,0.18685491723466408,0.6666666666666665
Toyota,Camry Hybrid XLE,0.8799999999999955,0.17174857989627068,Hybrid,208.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,White,Black,At least 1 accident or damage reported,Yes,0.0074506712717765725,0.14526315789473682,0.23870967741935484,0.1111111111111111,0.18685491723466408,0.6666666666666665
Subaru,Outback Touring XT,0.9399999999999977,0.08248950358113115,Gasoline,260.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Blue,Brown,None reported,Yes,0.010839803623407607,0.2,0.2258064516129032,0.1111111111111111,0.18685491723466408,0.6666666666666665
Lexus,GX 460 Base,0.8799999999999955,0.18498394665349469,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,White,Beige,At least 1 accident or damage reported,Yes,0.012226959743340548,0.24315789473684207,0.5096774193548387,0.5555555555555556,0.18685491723466408,0.5555555555555556
Ford,Escape XLT,0.6599999999999966,0.328970116078044,Gasoline,153.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,Silver,Silver,None reported,Yes,0.0003387438632314878,0.08736842105263158,0.2129032258064516,0.1111111111111111,0.18685491723466408,0.3333333333333333
Nissan,Murano SL,0.6599999999999966,0.29612249938256363,Gasoline,240.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Silver,Black,None reported,Yes,0.0016090333503495668,0.17894736842105263,0.36774193548387096,0.3333333333333333,0.18685491723466408,0.6666666666666665
Lexus,LC 500 Base,0.9599999999999937,0.004867868609533218,Gasoline,5.0L V8 32V PDI DOHC,Nightfall Mica,Caramel,None reported,No,0.03317996140352422,0.2769686823731166,0.5612903225806452,0.5555555555555556,0.38461538461538464,0.6666666666666665
MINI,Cooper Base,0.5799999999999983,0.2559298592244999,Gasoline,115.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,Red,Gray,At least 1 accident or damage reported,Yes,0.0013532817336097936,0.04736842105263159,0.12258064516129032,0.1111111111111111,0.18685491723466408,0.4444444444444445
Mazda,Mazda6 i Touring,0.8399999999999963,0.2948876265744628,Gasoline,184.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Silver,Black,None reported,Yes,0.00440367022200934,0.12000000000000001,0.23870967741935484,0.1111111111111111,0.18685491723466408,0.6666666666666665
