brand,model,model_year,milage,fuel_type,engine,ext_col,int_col,accident,clean_title,price,Potencia,Capacidade_Motor,Numero_Cilindros,Numero_Valvulas,T2
Jeep,Wrangler Sport,2014,71000,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Gray,Black,None reported,Yes,22000,285.0,3.6,6.0,21.71645569620253,5.0
Toyota,Highlander XLE,2015,68575,Gasoline,270.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Silver,Gray,At least 1 accident or damage reported,Yes,26000,270.0,3.5,6.0,21.71645569620253,7.0
Toyota,Camry Hybrid XLE,2018,69641,Hybrid,208.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,White,Black,At least 1 accident or damage reported,Yes,23995,208.0,2.5,4.0,21.71645569620253,7.0
Subaru,Outback Touring XT,2021,33500,Gasoline,260.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Blue,Brown,None reported,Yes,34000,260.0,2.4,4.0,21.71645569620253,7.0
Lexus,GX 460 Base,2018,75000,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,White,Beige,At least 1 accident or damage reported,Yes,38095,301.0,4.6,8.0,21.71645569620253,6.0
Nissan,Murano SL,2007,120000,Gasoline,240.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Silver,Black,None reported,Yes,6750,240.0,3.5,6.0,21.71645569620253,7.0
Lexus,LC 500 Base,2022,2071,Gasoline,5.0L V8 32V PDI DOHC,Nightfall Mica,Caramel,None reported,No,99950,333.1202482544608,5.0,8.0,32.0,7.0
MINI,Cooper Base,2003,103726,Gasoline,115.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,Red,Gray,At least 1 accident or damage reported,Yes,5995,115.0,1.6,4.0,21.71645569620253,5.0
Ford,E350 Super Duty Base,2006,158000,Gasoline,305.0HP 6.8L 10 Cylinder Engine Gasoline Fuel,White,Gray,At least 1 accident or damage reported,Yes,8500,305.0,6.8,10.0,21.71645569620253,7.0
Mazda,Mazda6 i Touring,2016,119500,Gasoline,184.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Silver,Black,None reported,Yes,15000,184.0,2.5,4.0,21.71645569620253,7.0
Mercedes-Benz,E-Class AMG E 53,2020,23044,Hybrid,3.0 Liter Turbo,Emerald Green Metallic,Black/Saddle Brown,None reported,No,72598,333.1202482544608,3.0,6.222728867064188,21.71645569620253,7.0
Mercedes-Benz,C-Class C 300 4MATIC Sport,2016,67289,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,White,Gray,None reported,Yes,20490,241.0,2.0,4.0,21.71645569620253,7.0
Dodge,Charger SE,2017,63250,Gasoline,292.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Red,Black,None reported,Yes,18650,292.0,3.6,6.0,21.71645569620253,7.0
Tesla,Model S 75D,2016,102260,Eletric,518.0HP Electric Motor Electric Fuel System,White,Black,None reported,Yes,31300,518.0,3.698079470198676,6.222728867064188,21.71645569620253,1.0
Lexus,GX 460 Premium,2023,2533,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Black,Black,None reported,Yes,64900,301.0,4.6,8.0,21.71645569620253,7.0
Audi,RS 7 4.0T quattro,2023,3158,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,Daytona Gray Pearl Effect,Black / Express Red,None reported,No,128900,333.1202482544608,4.0,8.0,32.0,1.0
Ford,Mustang Shelby GT500,2007,7346,Gasoline,500.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,Red,Black,None reported,Yes,40999,500.0,5.4,8.0,21.71645569620253,6.0
Acura,MDX Technology,2022,15895,Gasoline,3.5L V6 24V GDI SOHC,Majestic Black Pearl,Parchment,None reported,No,47950,333.1202482544608,3.5,6.0,24.0,10.0
Lincoln,MKT Base,2016,140200,Gasoline,303.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Black,Black,None reported,Yes,10500,303.0,3.7,6.0,21.71645569620253,6.0
Volkswagen,Passat 2.0T SE,2020,49400,Gasoline,174.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Black,Brown,None reported,Yes,20900,174.0,2.0,4.0,21.71645569620253,6.0
INFINITI,QX60 Base,2014,154247,Gasoline,265.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Black,Black,At least 1 accident or damage reported,Yes,12500,265.0,3.5,6.0,21.71645569620253,7.0
RAM,1500 Big Horn,2021,41800,Diesel,260.0HP 3.0L V6 Cylinder Engine Diesel Fuel,White,Black,None reported,Yes,44900,260.0,3.0,6.0,21.71645569620253,8.0
Hyundai,Santa Fe SE,2007,145000,Gasoline,242.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,Blue,Gray,At least 1 accident or damage reported,Yes,4200,242.0,3.3,6.0,21.71645569620253,7.0
Acura,ILX Technology Plus Package,2016,61000,Gasoline,201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Black,Black,At least 1 accident or damage reported,Yes,21000,201.0,2.4,4.0,21.71645569620253,7.0
Mercedes-Benz,E-Class E 350,2014,35000,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Red,Beige,None reported,Yes,29998,302.0,3.5,6.0,21.71645569620253,7.0
RAM,1500 Limited,2021,22000,Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Black,Black,None reported,Yes,54800,395.0,5.7,8.0,21.71645569620253,8.0
Jaguar,F-TYPE S British Design Edition,2017,34150,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Black,Black,None reported,Yes,45999,380.0,3.0,6.0,21.71645569620253,8.0
Toyota,Highlander XLE,2018,74000,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,White,Black,None reported,Yes,27950,295.0,3.5,6.0,21.71645569620253,8.0
Porsche,911 Turbo Cabriolet,2008,51000,Gasoline,480.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,Silver,Black,At least 1 accident or damage reported,Yes,69500,480.0,3.6,6.0,21.71645569620253,7.0
