brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,Potencia,Capacidade_Motor,Numero_Cilindros,Numero_Valvulas,T2,Categoria_ET,Categoria_Marca,Categoria_Modelo,Categoria_IntCol,Categoria_ExtCol,Categoria_MarcaModelo,condicao_do_veiculo,popularidade_modelo,popularidade_marca,eficiencia,idade_carro,idade_quilometragem,km_por_ano,cc
Jeep,Wrangler Sport,2014,71000,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Gray,Black,None reported,Yes,22000,285.0,3.6,6.0,24.0,5.0,3,2,2,4,5,4,bom,11,99,79.16666666666667,9.999999999899956,709999.9999928968,7100.0000000710315,1
Toyota,Highlander XLE,2015,68575,Gasoline,270.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,26000,270.0,3.5,6.0,24.0,7.0,3,3,4,3,9,1,avg,8,131,77.14285714285714,8.999999999899956,617174.9999931394,7619.444444529143,1
Toyota,Camry Hybrid XLE,2018,69641,Hybrid,208.0HP 2.5L 4 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,White,Black,At least 1 accident or damage reported,Yes,23995,208.0,2.5,4.0,24.0,7.0,2,0,0,13,0,0,avg,3,131,83.2,5.999999999899956,417845.99999303283,11606.833333526867,1
Subaru,Outback Touring XT,2021,33500,Gasoline,260.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Blue,Brown,None reported,Yes,34000,260.0,2.4,4.0,24.0,7.0,2,0,0,17,0,0,bom,1,47,108.33333333333334,2.9999999998999556,100499.99999664852,11166.666667039055,2
Lexus,GX 460 Base,2018,75000,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,38095,301.0,4.6,8.0,24.0,6.0,1,1,5,6,2,4,avg,8,125,65.43478260869566,5.999999999899956,449999.9999924967,12500.000000208425,3
Nissan,Murano SL,2007,120000,Gasoline,240.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,6750,240.0,3.5,6.0,24.0,7.0,3,0,4,3,9,1,bom,3,84,68.57142857142857,16.999999999899956,2039999.9999879948,7058.823529453306,0
Lexus,LC 500 Base,2022,2071,Gasoline,5.0L V8 32V PDI DOHC,Automatic,Nightfall Mica,Caramel,None reported,No,99950,311.0,5.0,8.0,32.0,7.0,1,1,5,11,8,5,avg,3,125,62.2,1.9999999998999556,4141.999999792808,1035.500000051798,3
MINI,Cooper Base,2003,103726,Gasoline,115.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Red,Gray,At least 1 accident or damage reported,Yes,5995,115.0,1.6,4.0,24.0,5.0,2,2,2,2,7,0,avg,4,24,71.875,20.999999999899956,2178245.9999896227,4939.333333356864,1
Ford,E350 Super Duty Base,2006,158000,Gasoline,305.0HP 6.8L 10 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,Yes,8500,305.0,6.8,10.0,24.0,7.0,1,1,5,16,2,2,avg,1,224,44.85294117647059,17.999999999899956,2843999.999984193,8777.777777826564,0
Mazda,Mazda6 i Touring,2016,119500,Gasoline,184.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,15000,184.0,2.5,4.0,24.0,7.0,2,0,0,13,0,0,bom,2,52,73.6,7.999999999899956,955999.9999880447,14937.500000186801,1
Mercedes-Benz,E-Class AMG E 53,2020,23044,Hybrid,3.0 Liter Turbo,Automatic,Emerald Green Metallic,Black/Saddle Brown,None reported,No,72598,311.0,3.0,6.0,24.0,7.0,3,3,4,1,9,1,avg,1,194,103.66666666666667,3.9999999998999556,92175.99999769457,5761.000000144089,2
Toyota,Camry Hybrid Base,2007,53249,Hybrid,147.0HP 2.4L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Silver,Gray,At least 1 accident or damage reported,Yes,9250,147.0,2.4,4.0,24.0,7.0,2,0,0,0,0,0,avg,1,131,61.25,16.999999999899956,905232.9999946727,3132.294117665492,1
Mercedes-Benz,C-Class C 300 4MATIC Sport,2016,67289,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,White,Gray,None reported,Yes,20490,241.0,2.0,4.0,24.0,7.0,2,0,0,17,0,0,bom,4,194,120.5,7.999999999899956,538311.9999932682,8411.125000105185,1
Dodge,Charger SE,2017,63250,Gasoline,292.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Black,None reported,Yes,18650,292.0,3.6,6.0,24.0,7.0,3,3,4,12,9,1,bom,1,65,81.11111111111111,6.999999999899956,442749.9999936722,9035.714285843425,1
Lexus,GX 460 Premium,2023,2533,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,64900,301.0,4.6,8.0,24.0,7.0,1,1,5,16,2,2,bom,6,125,65.43478260869566,0.9999999998999556,2532.9999997465875,2533.0000002534125,3
Ford,Mustang Shelby GT500,2007,7346,Gasoline,500.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Black,None reported,Yes,40999,500.0,5.4,8.0,24.0,6.0,1,1,5,6,2,4,bom,3,224,92.59259259259258,16.999999999899956,124881.99999926507,432.11764706136654,3
Lincoln,MKT Base,2016,140200,Gasoline,303.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,10500,303.0,3.7,6.0,24.0,6.0,3,2,2,4,5,1,bom,1,34,81.89189189189189,7.999999999899956,1121599.9999859738,17525.00000021916,1
Volkswagen,Passat 2.0T SE,2020,49400,Gasoline,174.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Brown,None reported,Yes,20900,174.0,2.0,4.0,24.0,6.0,2,0,0,2,7,0,bom,1,42,87.0,3.9999999998999556,197599.99999505782,12350.000000308888,1
INFINITI,QX60 Base,2014,154247,Gasoline,265.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,12500,265.0,3.5,6.0,24.0,7.0,3,3,4,12,9,1,avg,5,44,75.71428571428571,9.999999999899956,1542469.9999845685,15424.700000154315,0
RAM,1500 Big Horn,2021,41800,Diesel,260.0HP 3.0L V6 Cylinder Engine Diesel Fuel,8-Speed A/T,White,Black,None reported,Yes,44900,260.0,3.0,6.0,24.0,8.0,0,3,4,10,9,6,bom,9,74,86.66666666666667,2.9999999998999556,125399.99999581814,13933.333333797984,2
Hyundai,Santa Fe SE,2007,145000,Gasoline,242.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,At least 1 accident or damage reported,Yes,4200,242.0,3.3,6.0,24.0,7.0,3,0,4,3,9,1,avg,3,49,73.33333333333334,16.999999999899956,2464999.9999854937,8529.411764756078,0
Acura,ILX Technology Plus Package,2016,61000,Gasoline,201.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,Yes,21000,201.0,2.4,4.0,24.0,7.0,2,0,0,13,0,0,avg,2,37,83.75,7.999999999899956,487999.9999938973,7625.000000095355,1
Mercedes-Benz,E-Class E 350,2014,35000,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Red,Beige,None reported,Yes,29998,302.0,3.5,6.0,24.0,7.0,3,3,4,1,9,1,bom,9,194,86.28571428571429,9.999999999899956,349999.99999649846,3500.0000000350155,1
RAM,1500 Limited,2021,22000,Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,54800,395.0,5.7,8.0,24.0,8.0,1,1,5,16,4,2,bom,4,74,69.29824561403508,2.9999999998999556,65999.99999779902,7333.333333577886,3
Jaguar,F-TYPE S British Design Edition,2017,34150,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,45999,380.0,3.0,6.0,24.0,8.0,0,3,4,10,1,6,bom,1,36,126.66666666666667,6.999999999899956,239049.99999658347,4878.571428641153,2
Toyota,Highlander XLE,2018,74000,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,27950,295.0,3.5,6.0,24.0,8.0,0,3,4,10,9,6,bom,8,131,84.28571428571429,5.999999999899956,443999.9999925967,12333.33333353898,2
Porsche,911 Turbo Cabriolet,2008,51000,Gasoline,480.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,At least 1 accident or damage reported,Yes,69500,480.0,3.6,6.0,24.0,7.0,3,3,3,14,1,6,avg,2,159,133.33333333333334,15.999999999899956,815999.9999948977,3187.5000000199307,2
Ford,Transit Connect XLT,2016,111700,E85 Flex Fuel,169.0HP 2.5L 4 Cylinder Engine Flex Fuel Capability,A/T,White,Beige,None reported,Yes,15500,169.0,2.5,4.0,24.0,7.0,2,0,0,0,0,0,bom,4,224,67.6,7.999999999899956,893599.9999888251,13962.500000174608,1
Maserati,Quattroporte S,2019,23230,Gasoline,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,44999,424.0,3.0,6.0,24.0,8.0,0,3,3,14,1,6,bom,2,28,141.33333333333334,4.999999999899956,116149.99999767597,4646.000000092961,2
Land,Rover Defender S,2023,15200,Gasoline,296.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,62999,296.0,2.0,4.0,24.0,7.0,2,3,0,17,1,0,bom,2,102,148.0,0.9999999998999556,15199.999998479325,15200.000001520675,2
Toyota,Tundra SR5,2020,26300,Gasoline,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Gray,At least 1 accident or damage reported,Yes,46199,381.0,5.7,8.0,24.0,6.0,1,1,5,6,2,4,avg,4,131,66.84210526315789,3.9999999998999556,105199.99999736884,6575.0000001644485,3
Mazda,Mazda6 Touring,2021,52253,Gasoline,2.5L I4 16V GDI DOHC,6-Speed Automatic,Snowflake White Pearl,Black,At least 1 accident or damage reported,Yes,25215,311.0,2.5,4.0,16.0,6.0,2,2,1,7,3,3,avg,2,52,124.4,2.9999999998999556,156758.99999477237,17417.666667247515,2
Jeep,Grand Cherokee Limited,2020,47500,Gasoline,293.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,Purple,Black,None reported,Yes,31000,293.0,3.6,6.0,24.0,7.0,3,3,4,12,9,1,bom,5,99,81.38888888888889,3.9999999998999556,189999.9999952479,11875.000000297006,2
BMW,640 Gran Coupe i xDrive,2015,98000,Gasoline,315.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Beige,None reported,Yes,22500,315.0,3.0,6.0,24.0,7.0,3,3,4,1,9,1,bom,1,297,105.0,8.999999999899956,881999.9999901956,10888.88888900993,1
